"site","date","survey_time","start_time","end_time","duration_min","time_of_capture","species_capture","capture_type","life_stage","sex","snout_vent_length","body_mass"
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:40:00",unknown,,juvenile,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:52:00",desmognathus ochrophaeus,,adult,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:58:00",unknown,,juvenile,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:04:00",desmognathus ochrophaeus,,adult,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:17:00",desmognathus ochrophaeus,,adult,unknown,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:28:00",plethodon glutinosus,,,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:28:00",desmognathus fuscus,,adult,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:28:00",plethodon glutinosus,,,unknown,40.4,0.2
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:33:00",desmognathus ochrophaeus,,adult,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:10:00",unknown,,juvenile,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:46:00",desmognathus fuscus,,adult,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:04:00",unknown,,juvenile,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:08:00",desmognathus ochrophaeus,,adult,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:25:00",notophthalmus viridescens,,adult,unknown,66.0,1.4
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","10:40:00",desmognathus fuscus,,adult,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","10:40:00",plethodon glutinosus,,,unknown,40.4,0.2
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:06:00",unknown,,juvenile,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:25:00",unknown,,juvenile,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:37:00",desmognathus fuscus,,adult,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:56:00",desmognathus fuscus,,adult,,,
